time_s,ev_speed_mps,ev_pos_x_m,ev_pos_y_m,ev_distance_to_goal_m,ev_waiting_time_s,avg_waiting_time_s,total_waiting_time_s,queue_length_veh,throughput_veh_step
141.0,17.3625,13.0,-1.6,982.7299999999999,0.0,7.764705882352941,660.0,45,0
142.0,17.25155376717448,30.251553767174478,-1.6,965.4784462328254,0.0,5.694117647058824,484.0,35,0
143.0,17.186633552704006,47.43818731987849,-1.6,948.2918126801216,0.0,5.341176470588235,454.0,29,0
144.0,17.24319246066734,64.68137978054584,-1.6,931.0486202194542,0.0,5.617283950617284,455.0,26,4
145.0,17.24049728633836,81.9218770668842,-1.6,913.8081229331157,0.0,5.888888888888889,477.0,27,0
146.0,17.135590509790926,99.05746757667514,-1.6,896.6725324233249,0.0,6.3544303797468356,502.0,27,2
147.0,17.194337484892458,116.2518050615676,-1.6,879.4781949384325,0.0,6.6835443037974684,528.0,27,0
148.0,17.34640239365399,133.59820745522157,-1.6,862.1317925447782,0.0,7.220779220779221,556.0,28,2
149.0,17.353974569868296,150.95218202508988,-1.6,844.7778179749101,0.0,7.786666666666667,584.0,28,2
150.0,17.296863160841166,168.24904518593104,-1.6,827.4809548140689,0.0,8.16,612.0,28,0
151.0,13.748674813880267,181.9977199998113,-1.6,813.7322800001886,0.0,7.065934065934066,643.0,31,0
152.0,8.748674813880267,190.73495374768666,-1.4375368627303382,804.9836051863083,0.0,7.472527472527473,680.0,37,0
153.0,11.189306982792914,199.96907643629538,3.6817940604923023,793.7942982035154,0.0,7.813186813186813,711.0,39,0
154.0,11.493876473978162,201.6,14.879578270462636,782.3004217295373,0.0,8.255555555555556,743.0,39,1
155.0,15.406374338828027,201.6,30.28595260929066,766.8940473907093,0.0,8.764044943820224,780.0,38,1
156.0,17.357499948330226,201.6,47.64345255762088,749.5365474423792,0.0,9.191011235955056,818.0,38,0
157.0,17.184711352549495,201.6,64.82816391017037,732.3518360898296,0.0,9.617977528089888,856.0,38,0
158.0,17.26924243886024,201.6,82.09740634903062,715.0825936509694,0.0,10.044943820224718,894.0,38,0
159.0,17.22177019994706,201.6,99.31917654897768,697.8608234510223,0.0,10.71264367816092,932.0,38,2
160.0,16.995557578839364,201.6,116.31473412781703,680.8652658721829,0.0,11.279069767441861,970.0,38,1
161.0,17.26302698748186,201.6,133.5777611152989,663.602238884701,0.0,12.0,1008.0,38,2
162.0,17.105162473302336,201.6,150.68292358860126,646.4970764113988,0.0,12.614457831325302,1047.0,39,1
163.0,16.974605368357153,201.6,167.6575289569584,629.5224710430416,0.0,13.08433734939759,1086.0,39,0
164.0,15.030160923912709,201.6,182.68768988087112,614.4923101191289,0.0,13.731707317073171,1126.0,40,1
165.0,13.085716479468264,201.6,195.77340636033938,601.4065936396606,0.0,14.6,1168.0,42,2
166.0,11.14127203502382,201.6,206.9146783953632,590.2653216046368,0.0,12.76842105263158,1213.0,45,1
167.0,9.196827590579375,204.8,216.11150598594259,581.0684940140574,0.0,13.273684210526316,1261.0,50,0
168.0,11.650869017449248,204.8,227.76237500339184,569.4176249966082,0.0,13.757894736842106,1307.0,50,0
169.0,11.66228670664196,204.8,239.4246617100338,557.7553382899662,0.0,14.436170212765957,1357.0,50,1
170.0,12.671632812476837,204.8,252.09629452251065,545.0837054774894,0.0,15.150537634408602,1409.0,52,1
171.0,12.48580669689124,204.8,264.58210121940186,532.5978987805981,0.0,15.709677419354838,1461.0,52,0
172.0,13.080632374349621,204.8,277.6627335937515,519.5172664062485,0.0,16.268817204301076,1513.0,52,0
