time_s,ev_speed_mps,ev_pos_x_m,ev_pos_y_m,ev_distance_to_goal_m,ev_waiting_time_s,avg_waiting_time_s,total_waiting_time_s,queue_length_veh,throughput_veh_step
21.0,17.3625,17.0,195.2,393.40000000000003,0.0,0.45454545454545453,15.0,4,0
22.0,17.17152975117788,34.171529751177886,195.2,376.22847024882213,0.0,0.3939393939393939,13.0,3,0
23.0,17.207908559776843,51.37943831095472,195.2,359.0205616890453,0.0,0.48484848484848486,16.0,3,0
24.0,17.079120383691045,68.45855869464576,195.2,341.9414413053542,0.0,0.5757575757575758,19.0,3,0
25.0,17.092159498669208,85.55071819331498,195.2,324.84928180668504,0.0,0.6666666666666666,22.0,3,0
26.0,17.015357443876564,102.56607563719155,195.2,307.83392436280843,0.0,0.7575757575757576,25.0,3,0
27.0,17.035506606660785,119.60158224385232,195.2,290.79841775614767,0.0,0.8484848484848485,28.0,3,0
28.0,17.313678355980667,136.915260599833,195.2,273.484739400167,0.0,0.9393939393939394,31.0,3,0
29.0,17.00285715823993,153.91811775807292,195.2,256.48188224192705,0.0,1.0303030303030303,34.0,3,0
30.0,17.109446217864754,171.02756397593768,195.2,239.37243602406232,0.0,1.121212121212121,37.0,3,0
31.0,16.971331183519215,187.9988951594569,195.2,222.4011048405431,0.0,0.8333333333333334,40.0,3,1
32.0,17.153232032898813,205.15212719235572,195.2,205.24787280764428,0.0,0.5833333333333334,28.0,3,0
33.0,17.263058531098068,222.41518572345382,195.2,187.98481427654622,0.0,0.7291666666666666,35.0,7,0
34.0,17.216457768995316,239.63164349244911,195.2,170.7683565075509,0.0,0.8958333333333334,43.0,8,0
35.0,17.029131457209587,256.66077494965873,195.2,153.7392250503413,0.0,1.0625,51.0,8,0
36.0,17.18201763415709,273.8427925838158,195.2,136.5572074161842,0.0,1.25,60.0,9,0
37.0,17.005954835470767,290.84874741928655,195.2,119.55125258071344,0.0,1.4375,69.0,9,0
38.0,17.16407586205751,308.0128232813441,195.2,102.38717671865594,0.0,0.5957446808510638,28.0,6,1
39.0,16.977499876450747,324.9903231577948,195.2,85.40967684220519,0.0,0.723404255319149,34.0,6,0
40.0,17.332251175958664,342.3225743337535,195.2,68.07742566624653,0.0,0.851063829787234,40.0,6,0
41.0,16.97647440545261,359.2990487392061,195.2,51.100951260793906,0.0,0.9787234042553191,46.0,6,0
42.0,17.13379536634311,376.43284410554924,195.2,33.967155894450784,0.0,1.1063829787234043,52.0,6,0
43.0,17.147415336873383,393.58025944242263,195.2,16.819740557577394,0.0,1.2340425531914894,58.0,6,0
44.0,17.31668874695897,410.89694818938153,195.2,0.0,0.0,1.391304347826087,64.0,6,1
45.0,17.281457219645382,428.17840540902694,195.2,0.0,0.0,1.627906976744186,70.0,6,3
46.0,16.965271583199502,445.14367699222646,195.2,0.0,0.0,1.305084745762712,77.0,7,0
47.0,17.2796627599746,462.42333975220106,195.2,0.0,0.0,1.5254237288135593,90.0,13,0
48.0,17.301444902736694,479.72478465493776,195.2,0.0,0.0,1.8620689655172413,108.0,18,1
49.0,17.060662876721473,496.7854475316592,195.2,0.0,0.0,2.310344827586207,134.0,26,0
50.0,17.271529295202345,514.0569768268616,195.2,0.0,0.0,2.7758620689655173,161.0,27,0
51.0,17.19510851567611,531.2520853425376,195.2,0.0,0.0,3.245614035087719,185.0,26,1
52.0,17.06577479681,548.3178601393477,195.2,0.0,0.0,3.7017543859649122,211.0,26,0
53.0,16.965719436388465,565.2835795757362,195.2,0.0,0.0,4.157894736842105,237.0,26,0
54.0,17.057558072358372,582.3411376480946,195.2,0.0,0.0,4.614035087719298,263.0,26,0
