time_s,ev_speed_mps,ev_pos_x_m,ev_pos_y_m,ev_distance_to_goal_m,ev_waiting_time_s,avg_waiting_time_s,total_waiting_time_s,queue_length_veh,throughput_veh_step
21.0,13.848174887226428,7.099999999999999,115.2,480.0999999999999,0.0,0.9322033898305084,55.0,18,0
22.0,13.732465220202226,20.832465220202224,115.2,466.3675347797978,0.0,1.1639344262295082,71.0,18,0
23.0,13.757507731497567,34.58997295169979,115.2,452.61002704830014,0.0,1.3968253968253967,88.0,19,0
24.0,13.670412186428251,48.26038513812804,115.2,438.93961486187186,0.0,1.621212121212121,107.0,22,0
25.0,13.792623731377347,62.0530088695054,115.2,425.1469911304946,0.0,1.9264705882352942,131.0,26,0
26.0,13.85918078774102,75.91218965724642,115.2,411.2878103427536,0.0,2.1527777777777777,155.0,28,0
27.0,13.849372555082477,89.7615622123289,115.2,397.4384377876711,0.0,2.4,180.0,28,0
28.0,13.715931236068531,103.47749344839742,115.2,383.7225065516026,0.0,2.688311688311688,207.0,29,0
29.0,13.717009799310285,117.19450324770771,115.2,370.0054967522923,0.0,2.9873417721518987,236.0,31,0
30.0,13.615771849104016,130.81027509681172,115.2,356.38972490318827,0.0,3.308641975308642,268.0,34,0
31.0,13.607998455257434,144.41827355206917,115.2,342.7817264479308,0.0,3.6506024096385543,303.0,39,2
32.0,13.84432362370407,158.26259717577324,115.2,328.93740282422675,0.0,3.953488372093023,340.0,40,0
33.0,13.629724961472489,171.89232213724574,115.2,315.30767786275425,0.0,4.306818181818182,379.0,41,0
34.0,13.596623566094598,185.48894570334033,115.2,301.71105429665965,0.0,4.637362637362638,422.0,46,0
35.0,13.814178624562732,199.30312432790308,115.2,287.89687567209694,0.0,5.065217391304348,466.0,46,1
36.0,13.538707075151427,212.8418314030545,115.2,274.35816859694546,0.0,5.4361702127659575,511.0,47,0
37.0,13.834469279437139,226.67630068249167,115.2,260.5236993175084,0.0,5.752577319587629,558.0,50,0
38.0,13.630746075297946,240.30704675778958,115.2,246.8929532422104,0.0,6.161616161616162,610.0,55,1
39.0,13.306519863428948,253.61356662121852,115.2,233.5864333787815,0.0,6.5,663.0,56,0
40.0,13.193148387328517,266.80671500854703,115.2,220.39328499145296,0.0,6.970873786407767,718.0,56,0
41.0,13.873740970075408,280.68045597862243,115.2,206.51954402137756,0.0,7.233644859813084,774.0,60,0
42.0,13.787595621449686,294.46805160007216,115.2,192.73194839992786,0.0,7.6422018348623855,833.0,62,1
43.0,13.870437093393225,308.33848869346537,115.2,178.86151130653462,0.0,7.991071428571429,895.0,65,0
44.0,13.218515539026097,321.55700423249147,115.2,165.64299576750852,0.0,8.412280701754385,959.0,66,0
45.0,13.654152025584876,335.21115625807636,115.2,151.98884374192366,0.0,8.91304347826087,1025.0,67,0
46.0,13.8087420863796,349.01989834445595,115.2,138.18010165554406,0.0,8.625,1035.0,75,0
47.0,13.118067078949842,362.1379654234058,115.2,125.06203457659421,0.0,8.710743801652892,1054.0,71,0
48.0,13.788883291173121,375.9268487145789,115.2,111.2731512854211,0.0,8.739837398373984,1075.0,71,0
49.0,13.856945179414282,389.78379389399316,115.2,97.4162061060068,0.0,8.716535433070867,1107.0,76,0
50.0,13.29458101463964,403.07837490863284,115.2,84.12162509136716,0.0,8.953125,1146.0,74,0
51.0,13.000748338111773,416.07912324674464,115.2,71.12087675325539,0.0,9.106870229007633,1193.0,78,0
52.0,13.837227316247112,429.91635056299174,115.2,57.28364943700827,0.0,9.24812030075188,1230.0,80,1
53.0,13.239205050671,443.1555556136627,115.2,44.04444438633727,0.0,9.286764705882353,1263.0,74,0
54.0,8.74672156277958,451.90227717644234,115.2,35.297722823557685,0.0,9.705882352941176,1320.0,70,0
55.0,5.304828155885208,457.2071053323275,115.2,29.99289466767248,0.0,9.835714285714285,1377.0,72,0
56.0,3.283991245347615,460.49109657767514,115.2,26.70890342232486,0.0,10.146853146853147,1451.0,77,0
57.0,4.10603952677718,464.5971361044523,115.2,22.602863895547678,0.0,10.5625,1521.0,77,1
58.0,5.574641464490028,470.1717775689424,115.2,17.02822243105765,0.0,11.027586206896551,1599.0,80,0
59.0,8.893547532721474,479.0653251016638,115.2,8.134674898336181,0.0,11.520547945205479,1682.0,86,1
60.0,12.18080173562286,491.2461268372867,115.2,0.0,0.0,11.952702702702704,1769.0,90,1
61.0,13.535037171875405,504.78116400916207,115.2,0.0,0.0,12.45945945945946,1844.0,92,1
62.0,13.630857649387139,518.4120216585492,115.2,0.0,0.0,12.833333333333334,1925.0,96,0
63.0,13.651874142233096,532.0638958007823,115.2,0.0,0.0,13.223684210526315,2010.0,95,1
64.0,13.624968315486143,545.6888641162684,115.2,0.0,0.0,13.880794701986755,2096.0,94,1
65.0,13.860227723535894,559.5490918398043,115.2,0.0,0.0,14.677852348993289,2187.0,96,3
66.0,13.782017529883701,573.3311093696881,115.2,0.0,0.0,15.125827814569536,2284.0,100,1
67.0,13.827725299005209,587.1588346686933,115.2,0.0,0.0,15.781456953642385,2383.0,100,1
