episode,controller_type,traffic_scale,total_reward,steps,epsilon,loss_last
1,single_agent,1.00,-298.8995,298,0.9950,0.558743
2,single_agent,1.00,-300.0712,298,0.9900,0.414205
3,single_agent,1.00,-309.4292,306,0.9851,0.597559
4,single_agent,1.00,-298.7699,298,0.9801,0.511437
5,single_agent,1.00,-297.0933,296,0.9752,0.479540
6,single_agent,1.00,-296.4510,296,0.9704,0.479902
7,single_agent,1.00,-300.1802,299,0.9655,0.681840
8,single_agent,1.00,-288.6143,289,0.9607,1.813616
9,single_agent,1.00,-308.5673,305,0.9559,1.254811
10,single_agent,1.00,-315.4135,303,0.9511,0.979317
11,single_agent,1.00,-302.7503,300,0.9464,1.084227
12,single_agent,1.00,-301.8987,300,0.9416,0.260954
13,single_agent,1.00,-308.1718,304,0.9369,0.682691
14,single_agent,1.00,-306.4780,304,0.9322,0.945344
15,single_agent,1.00,-309.6355,306,0.9276,5.485291
16,single_agent,1.00,-291.1786,291,0.9229,1.371148
17,single_agent,1.00,-317.1970,304,0.9183,1.315941
18,single_agent,1.00,-304.8029,302,0.9137,0.659672
19,single_agent,1.00,-291.9713,292,0.9092,0.826247
20,single_agent,1.00,-318.5458,314,0.9046,1.703613
21,single_agent,1.00,-291.4923,292,0.9001,0.757167
22,single_agent,1.00,-309.2202,305,0.8956,8.243209
23,single_agent,1.00,-309.4781,306,0.8911,1.192001
24,single_agent,1.00,-300.6021,298,0.8867,0.619766
25,single_agent,1.00,-306.0131,303,0.8822,0.931218
26,single_agent,1.00,-300.2363,299,0.8778,1.333830
27,single_agent,1.00,-300.5806,299,0.8734,0.857249
28,single_agent,1.00,-327.0604,315,0.8691,0.600208
29,single_agent,1.00,-296.4117,296,0.8647,7.682650
30,single_agent,1.00,-314.9860,311,0.8604,9.090212
31,single_agent,1.00,-314.6703,310,0.8561,1.192255
32,single_agent,1.00,-312.5023,308,0.8518,7.142223
33,single_agent,1.00,-310.3887,301,0.8475,2.602422
34,single_agent,1.00,-311.4781,301,0.8433,17.439308
35,single_agent,1.00,-317.1499,306,0.8391,1.461331
36,single_agent,1.00,-299.4769,298,0.8349,0.642600
37,single_agent,1.00,-306.8910,304,0.8307,1.154276
38,single_agent,1.00,-303.4850,302,0.8266,4.221049
39,single_agent,1.00,-334.4470,322,0.8224,7.080730
40,single_agent,1.00,-324.3167,313,0.8183,1.261501
41,single_agent,1.00,-304.4016,303,0.8142,6.789392
42,single_agent,1.00,-299.9765,299,0.8102,0.564924
43,single_agent,1.00,-296.7565,295,0.8061,2.199494
44,single_agent,1.00,-307.8961,299,0.8021,1.301406
45,single_agent,1.00,-298.8029,298,0.7981,0.442825
46,single_agent,1.00,-302.5783,301,0.7941,1.737754
47,single_agent,1.00,-303.1856,302,0.7901,7.052444
48,single_agent,1.00,-299.3079,298,0.7862,9.038069
49,single_agent,1.00,-313.6695,309,0.7822,10.651939
50,single_agent,1.00,-311.9737,307,0.7783,1.309558
51,single_agent,1.00,-321.0790,303,0.7744,3.937615
52,single_agent,1.00,-302.8453,301,0.7705,11.095829
53,single_agent,1.00,-299.7902,299,0.7667,4.304488
54,single_agent,1.00,-299.6696,298,0.7629,3.429878
55,single_agent,1.00,-296.3486,296,0.7590,1.024587
56,single_agent,1.00,-297.3714,296,0.7553,10.852776
57,single_agent,1.00,-301.2096,300,0.7515,8.062523
58,single_agent,1.00,-350.4788,316,0.7477,10.529431
59,single_agent,1.00,-311.2919,307,0.7440,8.086189
60,single_agent,1.00,-320.8631,309,0.7403,1.641293
61,single_agent,1.00,-300.7863,299,0.7366,2.490387
62,single_agent,1.00,-314.0946,305,0.7329,3.579635
63,single_agent,1.00,-309.5385,305,0.7292,1.405491
64,single_agent,1.00,-311.1890,308,0.7256,16.112787
65,single_agent,1.00,-306.4688,304,0.7219,2.194810
66,single_agent,1.00,-292.4533,292,0.7183,1.937312
67,single_agent,1.00,-309.2584,305,0.7147,8.206746
68,single_agent,1.00,-318.6816,313,0.7112,1.289044
69,single_agent,1.00,-300.9956,299,0.7076,0.494818
70,single_agent,1.00,-308.9433,306,0.7041,0.552058
71,single_agent,1.00,-286.5701,288,0.7005,3.602588
72,single_agent,1.00,-284.7591,286,0.6970,2.176863
73,single_agent,1.00,-300.6223,299,0.6936,12.699458
74,single_agent,1.00,-315.4208,298,0.6901,4.223816
75,single_agent,1.00,-298.2677,297,0.6866,8.057711
76,single_agent,1.00,-303.1863,301,0.6832,6.683320
77,single_agent,1.00,-304.6761,302,0.6798,8.146145
78,single_agent,1.00,-306.9084,298,0.6764,1.778359
79,single_agent,1.00,-301.8575,300,0.6730,14.803835
80,single_agent,1.00,-297.6671,292,0.6696,13.000105
