episode,controller_type,state_dim,reward,loss,epsilon,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
1,multi_level_coordinated_dqn,29,1524.6279,0.019964,0.9950,88.1930,-1.0023,-0.1542,1.3094,0.3674,0.7400,1.6856,34.18,32.08,33.74
2,multi_level_coordinated_dqn,29,1490.9440,0.011104,0.9900,106.6408,-1.0033,-0.1557,1.3085,0.3688,0.7415,1.7322,32.56,34.13,33.31
3,multi_level_coordinated_dqn,29,1475.1919,0.031536,0.9851,188.8828,-1.0034,-0.1563,1.3077,0.3695,0.7431,1.7655,32.96,32.85,34.19
4,multi_level_coordinated_dqn,29,1495.4635,0.161371,0.9801,272.8099,-1.0013,-0.1557,1.3074,0.3691,0.7434,1.7719,31.81,34.33,33.86
5,multi_level_coordinated_dqn,29,1560.5347,0.052933,0.9752,265.2806,-1.0023,-0.1542,1.3130,0.3638,0.7331,1.6910,33.24,32.96,33.79
6,multi_level_coordinated_dqn,29,1604.4349,0.031493,0.9704,256.5606,-0.9998,-0.1502,1.3115,0.3640,0.7369,1.6546,32.73,33.45,33.82
7,multi_level_coordinated_dqn,29,1537.9673,0.072418,0.9655,257.4372,-1.0020,-0.1535,1.3098,0.3668,0.7394,1.7520,33.89,33.24,32.86
8,multi_level_coordinated_dqn,29,1591.3705,0.126565,0.9607,271.5114,-0.9997,-0.1514,1.3113,0.3645,0.7368,1.7115,33.01,33.07,33.92
9,multi_level_coordinated_dqn,29,1538.7381,0.167401,0.9559,272.3560,-1.0010,-0.1543,1.3095,0.3671,0.7402,1.7148,32.19,33.60,34.21
10,multi_level_coordinated_dqn,29,1614.8881,0.115630,0.9511,279.4977,-0.9997,-0.1508,1.3124,0.3644,0.7351,1.7033,32.75,32.64,34.61
11,multi_level_coordinated_dqn,29,1544.6472,0.232468,0.9464,278.0855,-1.0028,-0.1528,1.3105,0.3661,0.7382,1.7279,32.83,33.83,33.33
12,multi_level_coordinated_dqn,29,1677.3014,0.150294,0.9416,275.0990,-0.9969,-0.1486,1.3137,0.3611,0.7330,1.6453,32.54,34.03,33.43
13,multi_level_coordinated_dqn,29,1594.8057,0.060653,0.9369,279.1115,-1.0025,-0.1504,1.3129,0.3632,0.7347,1.6887,34.08,32.67,33.25
14,multi_level_coordinated_dqn,29,1524.4892,0.152869,0.9322,278.4119,-1.0008,-0.1552,1.3089,0.3685,0.7406,1.7488,35.19,31.98,32.83
15,multi_level_coordinated_dqn,29,1583.0267,0.204337,0.9276,287.2549,-1.0003,-0.1517,1.3108,0.3650,0.7376,1.6627,32.86,33.64,33.49
16,multi_level_coordinated_dqn,29,1537.2128,0.178005,0.9229,324.8154,-1.0034,-0.1529,1.3105,0.3661,0.7382,1.7324,32.97,33.28,33.74
17,multi_level_coordinated_dqn,29,1524.9156,0.146643,0.9183,311.6888,-1.0024,-0.1541,1.3095,0.3672,0.7397,1.7378,34.51,32.61,32.88
18,multi_level_coordinated_dqn,29,1611.4372,3.383385,0.9137,304.7597,-0.9997,-0.1508,1.3120,0.3631,0.7352,1.6316,33.09,33.76,33.14
