episode,controller_type,traffic_scale,total_reward,steps,epsilon,loss_last
1,coordinated_marl,1.00,3093.5555,453,0.9950,0.022973
2,coordinated_marl,1.00,4105.8758,444,0.9900,0.019908
3,coordinated_marl,1.00,5095.7309,436,0.9851,0.280502
4,coordinated_marl,1.00,3788.8532,449,0.9801,0.041949
5,coordinated_marl,1.00,3315.0219,454,0.9752,0.054854
6,coordinated_marl,1.00,4669.3348,442,0.9704,0.097975
7,coordinated_marl,1.00,4702.9446,445,0.9655,0.106544
8,coordinated_marl,1.00,4396.6734,443,0.9607,0.213977
9,coordinated_marl,1.00,4049.1358,447,0.9559,0.146913
10,coordinated_marl,1.00,4801.3998,443,0.9511,0.272542
11,coordinated_marl,1.00,3786.9796,451,0.9464,0.259797
12,coordinated_marl,1.00,3285.0794,455,0.9416,6.699940
13,coordinated_marl,1.00,2735.4551,456,0.9369,0.124741
14,coordinated_marl,1.00,3317.9411,455,0.9322,0.171917
15,coordinated_marl,1.00,3986.5015,444,0.9276,11.248290
16,coordinated_marl,1.00,2663.7632,458,0.9229,0.197127
17,coordinated_marl,1.00,4168.4033,442,0.9183,0.256580
18,coordinated_marl,1.00,4132.8078,447,0.9137,0.258478
19,coordinated_marl,1.00,3632.9690,448,0.9092,0.284862
20,coordinated_marl,1.00,4492.9628,444,0.9046,0.720354
21,coordinated_marl,1.00,3244.6569,446,0.9001,0.368098
22,coordinated_marl,1.00,3400.7327,455,0.8956,1.891100
23,coordinated_marl,1.00,4125.1973,445,0.8911,0.330344
24,coordinated_marl,1.00,3983.3134,445,0.8867,0.146805
25,coordinated_marl,1.00,4217.9878,446,0.8822,1.456730
26,coordinated_marl,1.00,3792.9851,451,0.8778,0.380089
27,coordinated_marl,1.00,4916.0978,443,0.8734,0.710520
28,coordinated_marl,1.00,3845.2034,445,0.8691,0.361540
29,coordinated_marl,1.00,3961.5474,448,0.8647,0.546779
30,coordinated_marl,1.00,4244.8651,446,0.8604,0.357675
31,coordinated_marl,1.00,4080.3379,446,0.8561,1.042073
32,coordinated_marl,1.00,3813.7312,446,0.8518,0.591998
33,coordinated_marl,1.00,5187.7364,435,0.8475,0.303084
34,coordinated_marl,1.00,4881.9796,444,0.8433,0.545491
35,coordinated_marl,1.00,4499.1301,444,0.8391,0.550263
36,coordinated_marl,1.00,4963.3311,446,0.8349,0.616204
37,coordinated_marl,1.00,5277.5776,442,0.8307,0.903362
38,coordinated_marl,1.00,5575.7581,441,0.8266,0.719378
39,coordinated_marl,1.00,3739.8105,453,0.8224,0.909439
40,coordinated_marl,1.00,3295.4736,455,0.8183,0.681708
41,coordinated_marl,1.00,3277.1018,455,0.8142,1.044282
42,coordinated_marl,1.00,4765.0955,443,0.8102,0.487083
43,coordinated_marl,1.00,4800.5116,446,0.8061,31.769058
44,coordinated_marl,1.00,5516.4260,443,0.8021,0.501179
45,coordinated_marl,1.00,5568.0941,443,0.7981,0.989960
46,coordinated_marl,1.00,5112.7122,445,0.7941,0.702576
47,coordinated_marl,1.00,4734.1769,444,0.7901,1.016023
48,coordinated_marl,1.00,2426.8195,461,0.7862,0.598815
49,coordinated_marl,1.00,3011.3216,457,0.7822,0.324723
50,coordinated_marl,1.00,5222.5790,446,0.7783,0.931833
51,coordinated_marl,1.00,3683.5869,468,0.7744,7.856336
52,coordinated_marl,1.00,5436.9208,438,0.7705,0.442257
53,coordinated_marl,1.00,4193.9372,445,0.7667,0.261472
54,coordinated_marl,1.00,4972.4552,443,0.7629,0.362342
55,coordinated_marl,1.00,3789.2526,455,0.7590,0.770004
56,coordinated_marl,1.00,4764.3047,443,0.7553,0.302571
57,coordinated_marl,1.00,4087.8549,462,0.7515,1.218959
58,coordinated_marl,1.00,3886.1696,461,0.7477,1.224164
59,coordinated_marl,1.00,4631.5155,442,0.7440,0.915403
60,coordinated_marl,1.00,4513.0533,443,0.7403,0.495296
61,coordinated_marl,1.00,2833.8386,469,0.7366,2.119448
62,coordinated_marl,1.00,4655.3498,445,0.7329,1.045918
63,coordinated_marl,1.00,6091.4049,446,0.7292,0.808154
64,coordinated_marl,1.00,5543.8621,444,0.7256,0.769004
65,coordinated_marl,1.00,6214.3520,443,0.7219,1.180697
66,coordinated_marl,1.00,6360.1415,438,0.7183,1.238896
67,coordinated_marl,1.00,2981.3800,460,0.7147,0.363430
68,coordinated_marl,1.00,5079.2597,442,0.7112,0.545715
69,coordinated_marl,1.00,5843.1004,442,0.7076,0.573797
70,coordinated_marl,1.00,4278.4172,444,0.7041,2.028784
71,coordinated_marl,1.00,5789.7944,444,0.7005,0.578358
72,coordinated_marl,1.00,6324.5449,453,0.6970,2.324460
73,coordinated_marl,1.00,5381.2542,437,0.6936,0.943121
74,coordinated_marl,1.00,5099.7690,449,0.6901,4.558424
75,coordinated_marl,1.00,4368.2437,451,0.6866,1.029856
76,coordinated_marl,1.00,7273.1517,437,0.6832,1.318425
77,coordinated_marl,1.00,5280.5511,443,0.6798,6.867883
78,coordinated_marl,1.00,6309.6832,447,0.6764,0.572543
79,coordinated_marl,1.00,6474.3551,446,0.6730,2.995137
80,coordinated_marl,1.00,4951.0767,448,0.6696,21.310726
