episode,controller_type,traffic_scale,total_reward,steps,epsilon,loss_last
1,coordinated_marl,1.00,46266.6921,139,0.9950,0.051200
2,coordinated_marl,1.00,46256.6375,139,0.9900,0.058682
3,coordinated_marl,1.00,46253.6381,139,0.9851,0.293895
4,coordinated_marl,1.00,46258.1237,139,0.9801,0.036666
5,coordinated_marl,1.00,46270.4914,139,0.9752,0.272745
6,coordinated_marl,1.00,46274.0199,139,0.9704,1.635391
7,coordinated_marl,1.00,46246.9646,139,0.9655,1.723096
8,coordinated_marl,1.00,46258.3206,139,0.9607,0.039480
9,coordinated_marl,1.00,46259.5381,139,0.9559,0.076885
10,coordinated_marl,1.00,46294.7143,139,0.9511,0.075364
11,coordinated_marl,1.00,46269.9245,139,0.9464,3.375069
12,coordinated_marl,1.00,46238.9700,139,0.9416,1.776453
13,coordinated_marl,1.00,46241.9110,139,0.9369,5.975353
14,coordinated_marl,1.00,46261.0753,139,0.9322,3.493761
15,coordinated_marl,1.00,46265.7148,139,0.9276,3.002070
16,coordinated_marl,1.00,46258.7789,139,0.9229,0.377606
17,coordinated_marl,1.00,46249.9052,139,0.9183,0.087920
18,coordinated_marl,1.00,46306.1776,139,0.9137,0.198340
19,coordinated_marl,1.00,46256.2385,139,0.9092,0.142395
20,coordinated_marl,1.00,46259.7074,139,0.9046,0.224889
21,coordinated_marl,1.00,46227.4604,139,0.9001,0.195990
22,coordinated_marl,1.00,46240.6225,139,0.8956,0.277540
23,coordinated_marl,1.00,46255.7154,139,0.8911,0.159969
24,coordinated_marl,1.00,46252.1525,139,0.8867,9.391756
25,coordinated_marl,1.00,46223.7251,139,0.8822,0.230721
26,coordinated_marl,1.00,46242.4702,139,0.8778,16.763351
27,coordinated_marl,1.00,46260.4081,139,0.8734,0.427672
28,coordinated_marl,1.00,46239.5805,139,0.8691,0.263964
29,coordinated_marl,1.00,46278.7640,139,0.8647,0.552880
30,coordinated_marl,1.00,46215.6031,139,0.8604,0.656765
31,coordinated_marl,1.00,46267.0910,139,0.8561,0.249687
32,coordinated_marl,1.00,46238.5129,139,0.8518,0.344026
33,coordinated_marl,1.00,46250.1603,139,0.8475,36.124535
34,coordinated_marl,1.00,46358.6640,139,0.8433,6.685369
35,coordinated_marl,1.00,46237.5397,139,0.8391,51.925362
36,coordinated_marl,1.00,46310.1852,139,0.8349,0.709455
37,coordinated_marl,1.00,46245.8047,139,0.8307,0.490385
38,coordinated_marl,1.00,46270.1695,139,0.8266,0.498100
39,coordinated_marl,1.00,46323.5387,139,0.8224,0.937263
40,coordinated_marl,1.00,46242.9101,139,0.8183,40.358597
41,coordinated_marl,1.00,46275.7658,139,0.8142,31.855888
42,coordinated_marl,1.00,48364.1687,149,0.8102,61.044025
43,coordinated_marl,1.00,46257.4401,139,0.8061,0.770992
44,coordinated_marl,1.00,46252.4520,139,0.8021,0.527695
45,coordinated_marl,1.00,46290.7266,139,0.7981,0.753702
46,coordinated_marl,1.00,46443.2496,140,0.7941,0.831553
47,coordinated_marl,1.00,46267.4763,139,0.7901,0.841455
48,coordinated_marl,1.00,46294.6507,139,0.7862,0.539504
49,coordinated_marl,1.00,46255.4797,139,0.7822,0.693692
50,coordinated_marl,1.00,46244.7988,139,0.7783,0.632248
51,coordinated_marl,1.00,46245.3679,139,0.7744,30.132296
52,coordinated_marl,1.00,46907.0669,142,0.7705,13.856682
53,coordinated_marl,1.00,46243.1360,139,0.7667,1.060009
54,coordinated_marl,1.00,46234.6606,139,0.7629,0.506504
55,coordinated_marl,1.00,46299.0945,139,0.7590,63.574715
56,coordinated_marl,1.00,46437.8952,140,0.7553,0.638305
57,coordinated_marl,1.00,46259.9194,139,0.7515,1.571748
58,coordinated_marl,1.00,46213.4572,139,0.7477,1.313204
59,coordinated_marl,1.00,46246.0667,139,0.7440,21.169209
60,coordinated_marl,1.00,46263.4057,139,0.7403,0.797706
61,coordinated_marl,1.00,46255.0367,139,0.7366,1.184452
62,coordinated_marl,1.00,46326.4913,139,0.7329,20.308611
63,coordinated_marl,1.00,46295.6818,139,0.7292,57.920605
64,coordinated_marl,1.00,46227.7247,139,0.7256,0.862765
65,coordinated_marl,1.00,47868.3765,146,0.7219,0.762177
66,coordinated_marl,1.00,47150.4432,143,0.7183,2.097948
67,coordinated_marl,1.00,46262.5334,139,0.7147,34.506306
68,coordinated_marl,1.00,46279.5294,139,0.7112,1.399235
69,coordinated_marl,1.00,46290.1680,139,0.7076,1.700391
70,coordinated_marl,1.00,47883.9567,146,0.7041,67.899040
71,coordinated_marl,1.00,46245.6000,139,0.7005,0.850518
72,coordinated_marl,1.00,46219.5618,139,0.6970,96.968163
73,coordinated_marl,1.00,46250.7428,139,0.6936,49.610535
74,coordinated_marl,1.00,46386.3392,139,0.6901,2.002142
75,coordinated_marl,1.00,46443.7404,139,0.6866,1.978427
76,coordinated_marl,1.00,46856.4651,140,0.6832,73.429039
77,coordinated_marl,1.00,46273.0116,139,0.6798,1.398615
78,coordinated_marl,1.00,47284.0081,139,0.6764,1.894137
79,coordinated_marl,1.00,46257.9394,139,0.6730,1.537583
80,coordinated_marl,1.00,46339.5380,139,0.6696,0.715867
