episode,controller_type,traffic_scale,total_reward,steps,epsilon,loss_last
1,single_agent,1.00,-338.3882,309,0.9950,0.980118
2,single_agent,1.00,-367.0068,334,0.9900,1.054203
3,single_agent,1.00,-337.7217,308,0.9851,0.792520
4,single_agent,1.00,-321.9792,291,0.9801,0.930172
5,single_agent,1.00,-335.2764,307,0.9752,1.460276
6,single_agent,1.00,-324.2613,298,0.9704,1.194834
7,single_agent,1.00,-354.0609,317,0.9655,1.392562
8,single_agent,1.00,-309.7601,287,0.9607,0.215450
9,single_agent,1.00,-353.7408,327,0.9559,1.175137
10,single_agent,1.00,-349.1456,322,0.9511,0.856559
11,single_agent,1.00,-309.6402,287,0.9464,2.156143
12,single_agent,1.00,-340.1934,311,0.9416,1.380262
13,single_agent,1.00,-321.1541,295,0.9369,1.430925
14,single_agent,1.00,-312.9405,290,0.9322,1.521521
15,single_agent,1.00,-349.5157,325,0.9276,3.277771
16,single_agent,1.00,-310.4605,288,0.9229,1.617213
17,single_agent,1.00,-312.2727,289,0.9183,0.477617
18,single_agent,1.00,-313.8273,291,0.9137,1.737452
19,single_agent,1.00,-330.6732,303,0.9092,6.947607
20,single_agent,1.00,-369.9898,336,0.9046,1.238720
21,single_agent,1.00,-311.7597,289,0.9001,0.595996
22,single_agent,1.00,-330.1390,303,0.8956,4.322889
23,single_agent,1.00,-369.4210,336,0.8911,7.481091
24,single_agent,1.00,-325.3295,300,0.8867,6.995148
25,single_agent,1.00,-353.8501,325,0.8822,0.479034
26,single_agent,1.00,-311.4220,288,0.8778,0.862245
27,single_agent,1.00,-380.9551,352,0.8734,3.262396
28,single_agent,1.00,-316.4978,292,0.8691,7.419027
29,single_agent,1.00,-341.9481,313,0.8647,11.144867
30,single_agent,1.00,-347.2882,320,0.8604,1.053060
31,single_agent,1.00,-335.2443,307,0.8561,2.823498
32,single_agent,1.00,-347.3525,321,0.8518,12.369896
33,single_agent,1.00,-324.4089,298,0.8475,4.055856
34,single_agent,1.00,-324.3838,299,0.8433,5.882872
35,single_agent,1.00,-312.3641,290,0.8391,2.026196
36,single_agent,1.00,-350.8523,324,0.8349,0.461374
37,single_agent,1.00,-311.2198,289,0.8307,4.881264
38,single_agent,1.00,-354.7984,327,0.8266,3.579240
39,single_agent,1.00,-332.6253,306,0.8224,4.824773
40,single_agent,1.00,-351.9030,326,0.8183,3.036179
41,single_agent,1.00,-354.6762,328,0.8142,3.105036
42,single_agent,1.00,-347.9388,321,0.8102,19.420986
43,single_agent,1.00,-306.4581,285,0.8061,1.713099
44,single_agent,1.00,-310.9585,289,0.8021,1.045223
45,single_agent,1.00,-347.4216,319,0.7981,1.670019
46,single_agent,1.00,-349.9749,320,0.7941,0.982080
47,single_agent,1.00,-354.6383,328,0.7901,1.032719
48,single_agent,1.00,-313.2294,289,0.7862,2.337163
49,single_agent,1.00,-360.8436,327,0.7822,25.995041
50,single_agent,1.00,-311.5330,289,0.7783,0.564875
51,single_agent,1.00,-336.3853,308,0.7744,6.577266
52,single_agent,1.00,-312.7350,289,0.7705,1.206619
53,single_agent,1.00,-358.7342,334,0.7667,1.563908
54,single_agent,1.00,-335.5393,308,0.7629,30.820469
55,single_agent,1.00,-343.6635,315,0.7590,2.350153
56,single_agent,1.00,-328.4087,303,0.7553,31.037336
57,single_agent,1.00,-347.6962,316,0.7515,0.644323
58,single_agent,1.00,-334.2953,306,0.7477,1.391918
59,single_agent,1.00,-327.1361,302,0.7440,31.619303
60,single_agent,1.00,-353.8316,327,0.7403,5.426382
61,single_agent,1.00,-334.7048,307,0.7366,1.625528
62,single_agent,1.00,-315.8627,293,0.7329,4.036341
63,single_agent,1.00,-322.2645,297,0.7292,67.148529
64,single_agent,1.00,-348.2132,321,0.7256,0.491761
65,single_agent,1.00,-335.7337,303,0.7219,32.992393
66,single_agent,1.00,-317.6429,292,0.7183,0.903232
67,single_agent,1.00,-307.5587,286,0.7147,2.186373
68,single_agent,1.00,-306.3413,285,0.7112,1.298556
69,single_agent,1.00,-361.7799,327,0.7076,3.740889
70,single_agent,1.00,-312.7257,290,0.7041,2.747295
71,single_agent,1.00,-346.7380,310,0.7005,0.910741
72,single_agent,1.00,-344.3919,314,0.6970,3.176332
73,single_agent,1.00,-321.5681,297,0.6936,2.076885
74,single_agent,1.00,-362.0317,336,0.6901,0.446063
75,single_agent,1.00,-327.0436,302,0.6866,5.532487
76,single_agent,1.00,-337.8902,310,0.6832,1.999273
77,single_agent,1.00,-339.6679,310,0.6798,2.908629
78,single_agent,1.00,-370.6748,336,0.6764,40.059734
79,single_agent,1.00,-336.5125,308,0.6730,0.479763
80,single_agent,1.00,-343.1977,313,0.6696,2.002417
