episode,controller_type,traffic_scale,total_reward,steps,epsilon,loss_last
1,single_agent,1.00,-1351.3094,786,0.9950,1.022641
2,single_agent,1.00,-1384.4648,787,0.9900,0.470981
3,single_agent,1.00,-1425.4631,825,0.9851,1.917323
4,single_agent,1.00,-1406.1804,821,0.9801,0.472096
5,single_agent,1.00,-1360.5829,797,0.9752,0.608350
6,single_agent,1.00,-1450.3302,832,0.9704,0.598829
7,single_agent,1.00,-1366.2819,804,0.9655,0.569838
8,single_agent,1.00,-1486.2354,852,0.9607,2.601625
9,single_agent,1.00,-1479.0932,850,0.9559,1.135341
10,single_agent,1.00,-1488.0547,856,0.9511,0.973914
11,single_agent,1.00,-1444.1000,832,0.9464,1.202921
12,single_agent,1.00,-1279.9369,748,0.9416,2.743837
13,single_agent,1.00,-1276.4705,754,0.9369,0.797142
14,single_agent,1.00,-1382.0331,801,0.9322,1.162014
15,single_agent,1.00,-1420.7688,830,0.9276,2.975722
16,single_agent,1.00,-1346.8386,786,0.9229,1.942157
17,single_agent,1.00,-1486.7578,825,0.9183,5.972723
18,single_agent,1.00,-1373.9860,803,0.9137,20.622234
19,single_agent,1.00,-1282.6432,751,0.9092,5.397269
20,single_agent,1.00,-1341.6375,783,0.9046,6.583054
21,single_agent,1.00,-1426.0605,827,0.9001,2.919973
22,single_agent,1.00,-1309.3798,769,0.8956,9.686870
23,single_agent,1.00,-1488.2844,828,0.8911,2.305512
24,single_agent,1.00,-1330.9629,782,0.8867,9.473431
25,single_agent,1.00,-1375.8034,801,0.8822,3.632522
26,single_agent,1.00,-1344.8890,786,0.8778,7.559657
27,single_agent,1.00,-1435.1841,828,0.8734,3.826504
28,single_agent,1.00,-1436.5545,827,0.8691,8.926369
29,single_agent,1.00,-1312.6102,770,0.8647,125.654442
30,single_agent,1.00,-1421.9032,821,0.8604,6.284869
31,single_agent,1.00,-1483.5561,824,0.8561,7.847809
32,single_agent,1.00,-1437.2153,828,0.8518,3.129150
33,single_agent,1.00,-1303.7333,773,0.8475,6.789414
34,single_agent,1.00,-1391.6779,804,0.8433,8.781097
35,single_agent,1.00,-1317.6263,777,0.8391,11.635757
36,single_agent,1.00,-1480.1173,852,0.8349,5.885868
37,single_agent,1.00,-1419.0167,804,0.8307,231.329697
38,single_agent,1.00,-1302.0474,772,0.8266,14.689841
39,single_agent,1.00,-1424.5589,830,0.8224,11.694223
40,single_agent,1.00,-1286.5541,753,0.8183,3.184999
41,single_agent,1.00,-1213.1476,727,0.8142,7.132911
42,single_agent,1.00,-1444.3874,831,0.8102,4.729715
43,single_agent,1.00,-1470.0581,849,0.8061,19.478308
44,single_agent,1.00,-1430.3698,834,0.8021,10.201677
45,single_agent,1.00,-1370.0324,797,0.7981,64.263924
46,single_agent,1.00,-1477.8468,853,0.7941,13.286650
47,single_agent,1.00,-1398.3654,809,0.7901,2.864951
48,single_agent,1.00,-1377.3287,805,0.7862,5.416175
49,single_agent,1.00,-1320.3856,772,0.7822,4.360454
50,single_agent,1.00,-1472.8702,853,0.7783,3.940866
51,single_agent,1.00,-1452.1682,828,0.7744,4.297011
52,single_agent,1.00,-1315.1809,775,0.7705,8.809480
53,single_agent,1.00,-1342.6402,784,0.7667,153.027863
54,single_agent,1.00,-1299.7833,769,0.7629,4.944359
55,single_agent,1.00,-1484.8507,858,0.7590,13.189132
56,single_agent,1.00,-1427.5011,827,0.7553,10.612785
57,single_agent,1.00,-1282.6887,746,0.7515,2.770800
58,single_agent,1.00,-1300.4081,771,0.7477,12.184818
59,single_agent,1.00,-1369.3863,796,0.7440,15.834458
60,single_agent,1.00,-1367.5807,803,0.7403,25.898985
61,single_agent,1.00,-1263.7872,754,0.7366,16.360916
62,single_agent,1.00,-1425.9786,829,0.7329,8.319091
63,single_agent,1.00,-1549.6195,857,0.7292,14.311871
64,single_agent,1.00,-1436.5139,828,0.7256,16.284595
65,single_agent,1.00,-1425.7618,827,0.7219,7.203446
66,single_agent,1.00,-1427.1819,824,0.7183,217.674454
67,single_agent,1.00,-1310.8031,767,0.7147,38.910431
68,single_agent,1.00,-1269.6227,747,0.7112,7.083389
69,single_agent,1.00,-1283.5239,753,0.7076,28.171358
70,single_agent,1.00,-1378.0578,809,0.7041,18.769152
71,single_agent,1.00,-1251.7572,748,0.7005,10.877065
72,single_agent,1.00,-1437.4997,832,0.6970,6.384678
73,single_agent,1.00,-1425.9240,826,0.6936,5.734135
74,single_agent,1.00,-1435.2894,826,0.6901,8.064106
75,single_agent,1.00,-1459.2877,845,0.6866,5.203046
