episode,controller_type,state_dim,reward,loss,epsilon,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
1,multi_level_coordinated_dqn,29,12443.8467,0.009337,0.9950,1754.5681,-1.0712,-0.0295,1.3181,0.2569,0.8816,1.1771,33.40,33.12,33.48
2,multi_level_coordinated_dqn,29,12463.6659,0.014312,0.9900,2272.1708,-1.0665,-0.0165,1.3194,0.2470,0.8872,1.0944,33.68,32.94,33.38
3,multi_level_coordinated_dqn,29,12523.0597,0.029020,0.9851,910.4647,-1.0708,-0.0294,1.3183,0.2570,0.8803,1.1560,33.35,33.68,32.97
4,multi_level_coordinated_dqn,29,12356.5510,0.006383,0.9801,666.7754,-1.0675,-0.0189,1.3182,0.2490,0.8886,1.1271,33.22,33.39,33.39
5,multi_level_coordinated_dqn,29,12421.9726,0.016133,0.9752,669.9893,-1.0666,-0.0167,1.3189,0.2473,0.8884,1.1150,32.71,33.88,33.41
6,multi_level_coordinated_dqn,29,12280.9815,0.014499,0.9704,694.3638,-1.0678,-0.0211,1.3175,0.2507,0.8889,1.1361,33.47,33.16,33.37
7,multi_level_coordinated_dqn,29,12516.6033,0.025320,0.9655,905.5717,-1.0664,-0.0168,1.3189,0.2479,0.8871,1.1155,32.46,34.33,33.21
8,multi_level_coordinated_dqn,29,12377.7394,0.025626,0.9607,1330.8534,-1.0693,-0.0230,1.3187,0.2524,0.8862,1.1418,33.11,33.19,33.70
9,multi_level_coordinated_dqn,29,12446.0913,0.056494,0.9559,2391.9282,-1.0706,-0.0298,1.3178,0.2569,0.8819,1.1851,33.20,33.74,33.06
10,multi_level_coordinated_dqn,29,12498.2219,0.065518,0.9511,2311.7234,-1.0708,-0.0297,1.3181,0.2570,0.8811,1.1844,32.48,33.42,34.10
11,multi_level_coordinated_dqn,29,12555.4724,0.026322,0.9464,1997.3449,-1.0661,-0.0155,1.3198,0.2465,0.8861,1.0775,33.44,34.44,32.11
12,multi_level_coordinated_dqn,29,12545.7229,0.043424,0.9416,795.1414,-1.0718,-0.0330,1.3182,0.2592,0.8774,1.1714,33.14,32.93,33.93
13,multi_level_coordinated_dqn,29,12479.3606,0.061422,0.9369,682.7612,-1.0665,-0.0161,1.3193,0.2471,0.8873,1.1071,33.87,32.38,33.75
14,multi_level_coordinated_dqn,29,12302.2762,0.057805,0.9322,708.5984,-1.0677,-0.0200,1.3176,0.2500,0.8892,1.1399,34.18,33.15,32.67
15,multi_level_coordinated_dqn,29,12221.7409,0.037704,0.9276,738.2817,-1.0700,-0.0245,1.3171,0.2537,0.8895,1.1793,33.12,33.31,33.57
16,multi_level_coordinated_dqn,29,12426.4887,0.457926,0.9229,790.5384,-1.0714,-0.0310,1.3172,0.2583,0.8820,1.1757,33.11,33.05,33.84
17,multi_level_coordinated_dqn,29,12445.2989,0.344167,0.9183,702.2882,-1.0668,-0.0163,1.3191,0.2471,0.8880,1.1044,34.53,32.41,33.06
18,multi_level_coordinated_dqn,29,12215.4631,0.045730,0.9137,740.6462,-1.0694,-0.0244,1.3172,0.2536,0.8896,1.1642,32.62,33.87,33.51
19,multi_level_coordinated_dqn,29,12592.2052,0.114129,0.9092,763.4832,-1.0699,-0.0261,1.3198,0.2539,0.8807,1.1562,33.37,33.41,33.22
20,multi_level_coordinated_dqn,29,12502.0926,0.104349,0.9046,700.3412,-1.0675,-0.0164,1.3202,0.2469,0.8853,1.0799,33.64,32.99,33.36
21,multi_level_coordinated_dqn,29,12310.8850,0.080569,0.9001,708.9776,-1.0674,-0.0208,1.3174,0.2504,0.8894,1.1345,32.09,34.63,33.28
22,multi_level_coordinated_dqn,29,12429.6029,0.056014,0.8956,943.7153,-1.0718,-0.0335,1.3174,0.2598,0.8793,1.1806,31.91,33.98,34.11
23,multi_level_coordinated_dqn,29,12738.5809,0.074425,0.8911,2041.5024,-1.0690,-0.0219,1.3213,0.2508,0.8793,1.0840,35.52,31.51,32.97
24,multi_level_coordinated_dqn,29,12685.2754,0.046110,0.8867,2196.1987,-1.0717,-0.0303,1.3198,0.2575,0.8750,1.1550,34.03,32.59,33.38
25,multi_level_coordinated_dqn,29,12469.7207,0.051501,0.8822,2016.5564,-1.0682,-0.0221,1.3191,0.2513,0.8851,1.1267,33.55,33.14,33.31
26,multi_level_coordinated_dqn,29,12474.3208,3.495605,0.8778,690.7540,-1.0699,-0.0262,1.3186,0.2547,0.8833,1.1623,32.53,33.90,33.57
27,multi_level_coordinated_dqn,29,12939.4867,0.119687,0.8734,577.0873,-1.0643,-0.0134,1.3230,0.2446,0.8788,1.0571,34.78,33.58,31.64
28,multi_level_coordinated_dqn,29,12457.2063,0.303330,0.8691,585.4291,-1.0657,-0.0167,1.3186,0.2475,0.8889,1.1208,31.46,32.62,35.91
29,multi_level_coordinated_dqn,29,12733.2104,0.166379,0.8647,670.7539,-1.0702,-0.0276,1.3202,0.2549,0.8768,1.1392,32.53,32.76,34.71
30,multi_level_coordinated_dqn,29,12549.2989,0.248253,0.8604,611.7043,-1.0675,-0.0191,1.3195,0.2490,0.8850,1.0876,32.57,33.81,33.62
31,multi_level_coordinated_dqn,29,12491.3638,0.185271,0.8561,622.7683,-1.0697,-0.0215,1.3196,0.2510,0.8849,1.1093,34.59,32.68,32.72
