episode,reward,policy_loss,value_loss,entropy,runtime_seconds,adaptive_ev_weight,adaptive_network_weight,congestion_level,ev_reward_component,network_reward_component,pct_low_congestion,pct_medium_congestion,pct_high_congestion,action_0_pct,action_1_pct,action_2_pct
1,496.4400,-0.003705,0.000678,1.096144,221.0927,0.3615,0.6385,high,15.0000,851.8306,0.00,30.77,69.23,33.33,31.57,35.10
2,513.0309,-0.004026,0.000662,1.090540,514.6851,0.3593,0.6407,high,15.0000,868.8287,0.00,29.63,70.37,34.49,35.42,30.09
3,479.2417,-0.000945,0.000488,1.094317,474.6326,0.3615,0.6385,high,15.0000,827.2990,0.00,30.77,69.23,38.46,30.21,31.33
4,529.2329,-0.001378,0.000506,1.093096,562.9065,0.3658,0.6342,high,15.0000,892.5644,0.00,32.91,67.09,36.79,29.43,33.78
5,483.6566,-0.000002,0.000337,1.096247,502.4630,0.3593,0.6407,high,15.0000,825.3655,0.00,29.63,70.37,33.10,30.02,36.88
6,493.2687,-0.001290,0.000360,1.096309,460.8778,0.3590,0.6410,high,15.0000,840.4266,0.00,29.49,70.51,29.57,35.26,35.18
7,546.6663,-0.000951,0.000345,1.087721,440.7149,0.3615,0.6385,high,15.0000,926.8849,0.00,30.77,69.23,32.45,37.10,30.45
8,509.5108,-0.000110,0.000353,1.081142,466.1038,0.3641,0.6359,high,14.5150,869.9806,0.00,32.05,67.95,27.56,41.03,31.41
9,487.8682,-0.006079,0.000319,1.086812,468.1993,0.3625,0.6375,high,15.0000,837.2163,0.00,31.25,68.75,26.48,38.44,35.08
10,523.4246,-0.003172,0.000254,1.071177,482.1455,0.3575,0.6425,high,15.0000,885.0744,0.00,28.75,71.25,29.30,40.00,30.70
11,483.9496,-0.005220,0.000264,1.081223,476.0473,0.3615,0.6385,high,15.0000,832.2487,0.00,30.77,69.23,31.09,46.47,22.44
12,545.9446,-0.005151,0.000274,1.072793,494.9317,0.3568,0.6432,high,15.0000,917.4452,0.00,28.40,71.60,34.10,36.57,29.32
13,543.7855,-0.000552,0.000269,1.082796,330.3861,0.3593,0.6407,high,15.0000,918.5080,0.00,29.63,70.37,29.71,45.22,25.08
14,494.6414,-0.001884,0.000424,1.092470,676.9041,0.3667,0.6333,high,15.0000,837.9462,0.00,33.33,66.67,31.41,38.06,30.53
15,533.3330,0.000175,0.000242,1.095898,726.0266,0.3615,0.6385,high,15.0000,905.3069,0.00,30.77,69.23,36.06,34.78,29.17
16,498.1259,-0.000916,0.000258,1.093103,830.9625,0.3568,0.6432,high,15.0000,845.3415,0.00,28.40,71.60,34.95,33.95,31.10
17,546.1926,-0.000716,0.000209,1.091441,815.9507,0.3593,0.6407,high,15.0000,922.6907,0.00,29.63,70.37,35.42,37.19,27.39
18,495.2753,0.000885,0.000220,1.084641,757.0241,0.3600,0.6400,high,15.0000,842.1792,0.00,30.00,70.00,40.78,30.70,28.52
19,521.4770,0.000109,0.000231,1.090788,508.2275,0.3617,0.6383,high,15.0000,887.8381,0.00,30.86,69.14,39.35,33.72,26.93
20,507.1868,-0.000285,0.000230,1.089955,458.2339,0.3623,0.6377,high,15.0000,863.7119,0.00,31.17,68.83,36.77,32.55,30.68
21,541.3593,-0.000073,0.000188,1.083604,460.2483,0.3617,0.6383,high,15.0000,918.5440,0.00,30.86,69.14,40.59,32.87,26.54
22,489.9666,-0.001021,0.000198,1.080439,463.1188,0.3568,0.6432,high,15.0000,836.6766,0.00,28.40,71.60,41.67,33.49,24.85
23,534.2461,-0.001139,0.000192,1.087621,457.7208,0.3641,0.6359,high,15.0000,909.5544,0.00,32.05,67.95,40.14,32.53,27.32
24,538.3957,-0.001093,0.000203,1.086042,456.1104,0.3641,0.6359,high,15.0000,915.3996,0.00,32.05,67.95,36.38,36.78,26.84
25,530.8173,-0.000789,0.000207,1.082115,450.7990,0.3641,0.6359,high,15.0000,895.4413,0.00,32.05,67.95,31.81,40.87,27.32
26,497.4462,-0.000798,0.000168,1.077644,318.7531,0.3575,0.6425,high,15.0000,845.6469,0.00,28.75,71.25,30.86,42.34,26.80
27,541.1930,-0.001842,0.000172,1.070080,788.1125,0.3649,0.6351,high,15.0000,921.2503,0.00,32.47,67.53,34.09,43.10,22.81
28,535.5676,-0.004728,0.000168,1.030282,339.0269,0.3623,0.6377,high,15.0000,909.3008,0.00,31.17,68.83,33.44,46.43,20.13
29,543.9854,-0.002052,0.000211,1.051528,738.4978,0.3649,0.6351,high,15.0000,927.1751,0.00,32.47,67.53,37.99,42.78,19.24
30,493.5782,-0.000426,0.000154,1.050624,745.3051,0.3615,0.6385,high,15.0000,845.5952,0.00,30.77,69.23,33.09,47.60,19.31
31,500.8463,-0.002772,0.000180,1.048494,793.1342,0.3641,0.6359,high,15.0000,853.0938,0.00,32.05,67.95,34.05,42.39,23.56
32,536.5276,-0.004938,0.000154,0.946902,5544.1687,0.3590,0.6410,high,15.0000,905.2230,0.00,29.49,70.51,32.77,49.92,17.31
33,496.3139,-0.002599,0.000160,0.988234,626.5692,0.3615,0.6385,high,15.0000,848.9067,0.00,30.77,69.23,24.28,59.62,16.11
34,534.3480,-0.003276,0.000141,0.956728,379.2619,0.3615,0.6385,high,15.0000,907.0569,0.00,30.77,69.23,28.45,53.53,18.03
35,547.4972,-0.001919,0.000133,0.928965,466.9712,0.3568,0.6432,high,15.0000,919.6632,0.00,28.40,71.60,23.61,61.42,14.97
