episode,reward,policy_loss,value_loss,entropy,runtime_seconds
1,691.5552,-0.006816,0.001771,1.079300,425.4122
2,667.7270,-0.001347,0.001058,1.082939,464.4805
3,638.4772,-0.001665,0.000987,1.096427,477.2809
4,660.6358,-0.000540,0.000766,1.095985,598.5351
5,664.6298,-0.000338,0.000958,1.092500,752.3336
6,658.2679,-0.000486,0.000802,1.091211,924.4534
7,597.9604,-0.000728,0.000983,1.087724,790.0662
8,629.2362,-0.001745,0.000983,1.066277,882.3641
9,666.8644,-0.003838,0.000601,1.048370,888.0879
10,666.3270,-0.000166,0.000570,1.060693,750.4337
11,682.3592,-0.000426,0.000744,1.070703,472.1109
12,721.8555,0.000056,0.000632,1.083823,521.6865
13,643.8015,-0.003117,0.000515,1.067181,565.1397
14,670.3319,-0.006254,0.000520,1.062865,655.2071
15,691.6323,-0.000231,0.000481,1.049232,457.5479
16,673.8589,-0.000347,0.000502,1.044437,793.6281
17,673.0198,-0.001083,0.000535,1.029331,6440.0270
