episode,reward,policy_loss,value_loss,entropy,runtime_seconds
1,-4565.7016,-0.004736,0.087114,1.090655,175.5072
2,-4089.8785,-0.003884,0.061364,1.081298,332.2835
3,-4448.9720,-0.004544,0.056487,1.075979,652.9213
4,-4322.0897,-0.002772,0.062030,1.089651,2245.6624
5,-4361.1912,-0.001012,0.067614,1.083281,609.3847
6,-4047.3783,-0.003752,0.061180,1.049657,573.4894
7,-4232.8942,-0.001939,0.061449,1.048649,351.5243
8,-4557.0694,-0.006978,0.059109,1.013580,369.4179
9,-4103.6431,-0.000752,0.057083,0.979505,344.9673
10,-4474.4084,-0.002745,0.044462,0.911448,369.8741
11,-3982.0192,-0.004760,0.046187,0.839960,352.6395
12,-3787.5945,-0.003661,0.056534,0.857465,433.2326
13,-2666.2034,-0.004386,0.041871,0.792583,368.7324
14,-3282.8311,-0.003042,0.051404,0.789871,445.3861
15,-2262.8572,-0.000133,0.028340,0.702231,338.7410
16,-3289.3973,-0.006063,0.034852,0.717893,420.0983
17,-3004.4658,-0.001033,0.033998,0.686623,506.6594
18,-3106.2851,-0.002548,0.027877,0.779893,786.4212
19,-2996.9069,-0.002146,0.028132,0.837020,672.2913
20,-3977.8124,-0.002907,0.034301,0.769685,1033.3836
21,-4711.0549,-0.003265,0.060738,0.737188,1001.6273
22,-4052.4614,-0.004729,0.051588,0.659805,832.2766
23,-2778.8251,-0.000160,0.049326,0.696594,717.4824
24,-3051.3348,-0.001475,0.036227,0.610917,935.2911
25,-3951.6153,-0.001796,0.035023,0.615493,582.1826
26,-5949.5222,-0.002799,0.047977,0.626450,561.9478
27,-2973.3012,-0.000973,0.041944,0.505505,359.5907
28,-2622.7575,0.000042,0.036994,0.557268,443.6065
29,-2397.7483,-0.000467,0.054753,0.456206,434.2645
30,-1922.5089,-0.000552,0.031539,0.469026,307.0877
31,-2061.6567,-0.002689,0.026037,0.450660,390.2843
32,-2628.2892,-0.000441,0.023185,0.473089,272.1428
33,-2803.2229,-0.001706,0.021822,0.454509,451.2442
34,-3696.2276,-0.001270,0.025511,0.463837,621.0467
35,-2930.7034,-0.002007,0.025950,0.422287,532.9839
36,-2569.3009,-0.002077,0.031262,0.363538,867.8487
37,-1906.9616,-0.000950,0.020273,0.314479,675.8448
38,-1354.3128,-0.000889,0.021315,0.303210,453.9478
39,-1726.5182,-0.001722,0.014519,0.329024,703.1011
40,-1600.6280,-0.001645,0.017960,0.324552,534.0037
41,-1571.6120,-0.000886,0.015597,0.318866,391.9837
42,-1576.4338,-0.000686,0.012307,0.351403,300.3634
43,-1885.9271,-0.001588,0.008761,0.367160,378.8763
44,-1351.7191,-0.000356,0.015294,0.297188,390.6931
45,-1387.9293,-0.000781,0.010318,0.335322,384.1525
46,-1916.0532,-0.001877,0.012102,0.385656,312.9201
47,-1515.3243,-0.001964,0.009017,0.363089,274.1996
48,-1159.8119,-0.001650,0.009085,0.298336,402.3196
49,-1357.8921,-0.000955,0.009502,0.322043,452.2775
50,-1473.0892,-0.001435,0.010998,0.297808,383.7749
51,-1468.2248,-0.001295,0.011356,0.318794,449.6889
52,-1237.5036,-0.001155,0.008766,0.322746,414.0843
53,-821.1527,-0.002735,0.006138,0.283002,520.1384
54,-1425.8731,-0.001505,0.007835,0.277562,848.3026
55,-1479.2037,-0.000660,0.009666,0.307535,956.7938
56,-969.5819,-0.000900,0.007238,0.246753,819.7256
57,-1169.7446,-0.000675,0.007589,0.221655,762.8932
58,-1401.9478,-0.000519,0.010468,0.243261,758.6735
59,-960.1360,-0.000104,0.007313,0.252630,777.2971
60,-1965.9776,-0.000445,0.010590,0.267139,885.0978
61,-1489.1668,-0.001304,0.010452,0.290807,706.9156
62,-1451.3651,-0.000793,0.010798,0.266296,267.7156
63,-1228.2848,-0.001205,0.007915,0.308064,297.9526
64,-1511.4465,-0.001430,0.011298,0.263504,290.1968
65,-1289.8235,-0.000319,0.011690,0.266606,294.6704
66,-1058.7237,-0.000718,0.008422,0.273656,286.6182
67,-1915.1741,-0.000432,0.020140,0.219449,262.2298
68,-1425.8853,-0.000384,0.010882,0.228992,308.6579
69,-1595.3059,-0.001650,0.008406,0.253684,293.1428
70,-1087.7544,-0.001641,0.008251,0.227728,283.9838
71,-938.2106,-0.002127,0.007904,0.273053,264.3745
72,-1284.5717,-0.000172,0.008041,0.245479,303.0060
73,-2242.3327,0.000095,0.012680,0.269026,322.9501
74,-1558.5526,-0.000030,0.010414,0.254583,324.9808
75,-1235.4321,-0.000904,0.007157,0.281874,28466.6216
76,-1319.8079,-0.002040,0.008222,0.283769,298.3629
77,-1005.5345,-0.002787,0.008153,0.254480,292.7388
78,-1028.4189,-0.000911,0.004678,0.234471,288.6320
79,-831.2803,-0.000989,0.005274,0.238435,302.1606
80,-1261.2763,-0.001333,0.006510,0.192872,297.9578
81,-1905.5929,-0.000173,0.009549,0.216896,295.7247
82,-1049.7072,-0.000850,0.005125,0.221421,292.0992
83,-1240.2368,-0.001050,0.007917,0.190377,268.4190
84,-1398.8749,-0.000970,0.007193,0.225109,327.0199
85,-1536.0077,-0.002024,0.009575,0.235421,308.8688
86,-941.3108,-0.001713,0.004907,0.208240,316.6301
87,-1024.5891,-0.000466,0.005327,0.205256,2171.6140
88,-1173.8338,0.000026,0.006652,0.195281,814.4521
89,-1054.7694,-0.001731,0.005256,0.187932,808.8711
90,-1324.3439,-0.000664,0.005482,0.205011,832.4867
91,-831.9161,-0.001591,0.004761,0.226741,780.2443
92,-956.7749,-0.000276,0.004739,0.184656,575.2331
