episode,reward,policy_loss,value_loss,entropy,runtime_seconds
1,-894.6954,-0.001570,0.002966,1.089234,323.0115
2,-980.9303,-0.004859,0.003332,1.070734,369.9683
3,-1082.2909,-0.002866,0.005173,1.072254,369.3525
4,-913.6348,-0.004227,0.004693,1.088071,345.5869
5,-903.1295,-0.000370,0.004479,1.088277,324.2067
6,-1052.3716,-0.002175,0.004351,1.094924,608.0326
7,-1021.4796,-0.004147,0.003981,1.095514,653.7845
8,-934.7718,-0.002391,0.003211,1.074959,603.4250
9,-1103.6315,-0.000922,0.003081,1.068213,592.9702
10,-1082.5263,-0.004083,0.003664,1.074735,190.0113
11,-977.8377,-0.002995,0.003338,1.082177,602.1459
12,-995.0665,-0.004760,0.002503,1.089222,437.5363
13,-955.6305,-0.000817,0.001928,1.093214,223.9196
14,-894.3778,-0.002135,0.001854,1.085993,628.8641
15,-791.3304,-0.003047,0.001692,1.044424,906.3589
16,-896.8756,-0.001372,0.001279,1.022615,764.6121
17,-958.2213,-0.003412,0.001298,0.953107,558.3439
18,-958.9213,-0.000233,0.001468,0.895012,404.5882
19,-959.4425,0.000573,0.001368,0.990029,401.3281
20,-894.3240,-0.001149,0.001228,0.975142,387.2887
21,-892.9454,-0.001542,0.001062,0.987255,342.6119
22,-892.2892,-0.004484,0.000960,0.933148,364.2917
23,-891.3216,-0.001265,0.000907,0.971362,368.1302
24,-963.7435,-0.003266,0.001009,1.005057,427.0626
25,-961.3216,-0.001981,0.001136,0.974136,424.1925
26,-948.6214,-0.004483,0.000984,0.942486,390.6571
27,-894.0370,-0.003089,0.001002,0.904646,357.0794
28,-892.2892,-0.002076,0.000815,0.925343,572.1294
29,-959.4425,0.000229,0.000801,0.899221,689.3106
30,-892.2892,-0.001195,0.000799,0.929012,648.8128
31,-892.9454,-0.002880,0.000777,0.891502,627.8803
32,-892.2892,-0.000449,0.000725,0.825631,664.1262
33,-871.6051,-0.001236,0.000726,0.898762,643.6951
34,-892.6819,-0.003643,0.000698,0.860369,620.4610
35,-897.8435,-0.001948,0.000655,0.863998,603.7883
36,-911.9103,-0.000755,0.000742,0.849796,478.8954
37,-893.3345,-0.003452,0.000618,0.843226,351.9017
38,-891.3216,-0.001870,0.000601,0.872149,364.5821
39,-874.3813,-0.000265,0.000650,0.803410,378.3936
40,-894.3240,-0.002108,0.000581,0.740274,412.5301
41,-892.2892,-0.000417,0.000569,0.702696,411.9422
42,-891.3216,-0.002544,0.000525,0.667851,404.3221
43,-892.2892,-0.003464,0.000516,0.595712,442.3543
44,-892.2892,-0.000742,0.000486,0.573022,462.8288
45,-892.9454,-0.001345,0.000469,0.590571,452.8243
46,-890.9887,-0.000328,0.000481,0.574270,446.2485
47,-892.2892,-0.000359,0.000471,0.547585,540.3312
48,-959.4425,-0.001732,0.000721,0.569434,760.6363
49,-890.9887,-0.001674,0.000504,0.601966,684.6631
50,-892.2892,-0.000613,0.000427,0.643745,560.4630
51,-891.3216,-0.000793,0.000410,0.677574,608.6424
52,-891.3216,-0.001107,0.000403,0.615245,595.2413
53,-852.2933,-0.000567,0.000528,0.617386,668.1251
54,-811.7530,-0.001131,0.000546,0.625880,563.8681
55,-959.4425,-0.001218,0.000533,0.598417,498.0955
56,-897.8435,0.000372,0.000632,0.618083,272.3156
57,-892.2892,-0.000394,0.000433,0.616887,276.2661
58,-897.8435,-0.001846,0.000394,0.602209,441.5326
59,-811.6943,-0.000873,0.000583,0.567260,327.2248
60,-897.8435,-0.002408,0.000401,0.514962,377.9709
61,-897.8435,-0.003956,0.000364,0.563634,492.2432
62,-892.2892,-0.000623,0.000361,0.602957,525.8219
63,-959.4425,-0.002651,0.000454,0.566817,571.0068
64,-892.2892,-0.002227,0.000426,0.588513,554.6007
65,-891.3216,-0.000603,0.000368,0.545355,526.2181
66,-892.2892,0.000104,0.000363,0.463036,185.5487
67,-958.1758,-0.000968,0.000507,0.507072,203.3682
68,-891.3216,-0.001232,0.000388,0.498441,183.1704
69,-892.2892,-0.000693,0.000338,0.498220,180.8713
70,-892.2892,-0.001594,0.000333,0.550266,180.0877
71,-891.3216,-0.000433,0.000316,0.569401,320.1318
72,-892.2892,-0.000302,0.000319,0.603578,2413.1457
73,-890.9887,-0.001629,0.000317,0.580219,431.2791
74,-891.3216,-0.001599,0.000298,0.589992,173.3247
75,-892.2892,-0.000357,0.000320,0.563431,183.8266
76,-892.2892,-0.000180,0.000316,0.591818,187.3049
77,-961.3216,-0.000147,0.000434,0.548991,189.6235
78,-892.2892,-0.001391,0.000347,0.560029,177.1434
79,-892.9454,-0.000632,0.000300,0.584660,179.0822
80,-894.0370,-0.000956,0.000305,0.620951,179.0800
81,-874.3813,-0.002152,0.000326,0.632568,179.1163
82,-892.2892,0.000118,0.000290,0.616597,179.3828
83,-892.2892,-0.000596,0.000297,0.611032,180.0009
84,-892.2892,-0.000569,0.000276,0.613623,180.9772
85,-892.9454,-0.001430,0.000264,0.543665,182.9484
86,-892.2892,-0.001818,0.000268,0.577166,181.4385
87,-874.3813,-0.001313,0.000307,0.576511,180.9200
88,-892.2892,-0.002016,0.000263,0.621528,181.3177
89,-890.9887,-0.003146,0.000243,0.652715,181.2992
90,-892.9454,-0.003421,0.000240,0.699573,181.5306
91,-875.0523,-0.004248,0.000292,0.667280,180.0381
92,-894.0370,-0.001214,0.000269,0.701147,182.8040
93,-817.1462,-0.000428,0.000525,0.694509,179.6971
94,-894.3240,-0.001146,0.000283,0.684999,26284.6044
95,-892.2892,-0.000957,0.000237,0.651539,165.2563
96,-892.2892,-0.002866,0.000233,0.655827,176.5976
