episode,reward,policy_loss,value_loss,entropy,runtime_seconds
1,-342.5460,-0.012202,0.149776,1.095152,6.4729
2,-299.2719,0.001104,0.085664,1.084126,6.0375
3,-295.0983,-0.001068,0.058521,1.078337,6.0693
4,-303.3364,-0.000554,0.057358,1.071866,16.3475
5,-322.9330,-0.004220,0.067320,1.069380,18.4805
6,-330.3959,-0.003193,0.071861,1.078753,19.1533
7,-313.5343,-0.000212,0.079318,1.084306,18.6410
8,-356.1659,-0.000035,0.119658,1.083611,19.0973
9,-311.6451,0.000374,0.105272,1.079344,18.9266
10,-313.3702,-0.001244,0.086436,1.077084,17.9073
11,-316.0148,0.000024,0.096345,1.075312,17.9255
12,-303.7650,-0.001164,0.072445,1.075556,18.0261
13,-337.2070,-0.001078,0.096895,1.074257,18.5902
14,-305.4214,-0.001584,0.076379,1.075030,18.5468
15,-336.0190,0.001062,0.082406,1.079199,18.3655
16,-326.5994,-0.000409,0.091336,1.080501,19.0741
17,-307.6579,-0.000092,0.073945,1.080143,17.9832
18,-295.4551,-0.000742,0.081556,1.081134,18.2779
19,-330.7767,-0.000230,0.081896,1.083931,18.5045
20,-326.2503,0.000233,0.089595,1.085966,18.5885
21,-329.2671,-0.001183,0.091006,1.087367,18.6063
22,-298.4348,-0.001852,0.067117,1.089957,17.7783
23,-396.8690,-0.000610,0.128346,1.092603,18.6977
24,-318.8289,-0.000369,0.081991,1.093988,18.2637
25,-373.8107,0.000315,0.107444,1.093953,19.3702
26,-345.2568,-0.000252,0.106300,1.093450,19.4366
27,-298.8138,-0.001548,0.076296,1.092601,18.1230
28,-340.3660,0.000297,0.085353,1.090664,19.2137
29,-293.2191,-0.001274,0.066785,1.089691,17.9887
30,-325.6557,0.000324,0.077563,1.089664,18.4691
31,-364.5883,-0.000222,0.075839,1.089351,18.3250
32,-414.7109,-0.000452,0.127092,1.090400,19.8718
33,-300.7726,-0.002671,0.093233,1.093045,18.3506
34,-308.5470,-0.004978,0.074402,1.096415,18.5137
35,-301.8362,-0.000857,0.063789,1.098076,17.9272
36,-323.5725,-0.000963,0.065751,1.098205,18.9807
37,-342.7843,0.000826,0.074486,1.097739,18.5764
38,-333.0713,-0.000560,0.065166,1.097512,18.6588
39,-302.4211,0.000214,0.066772,1.097405,18.0298
40,-327.1817,-0.000096,0.065984,1.097445,18.1873
41,-317.3168,0.000034,0.068747,1.097359,6.1663
42,-330.8423,-0.000175,0.068968,1.097259,6.2304
43,-355.8584,-0.000185,0.062258,1.096920,10.5667
44,-284.1794,-0.000447,0.079411,1.096211,17.3760
45,-334.0887,0.000260,0.073639,1.095566,17.8856
