episode,controller_type,state_dim,reward,loss,epsilon,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
1,multi_level_coordinated_dqn,29,848.5023,0.240694,0.9950,824.5078,-0.7459,0.0445,1.4180,0.2118,0.6006,0.3743,37.08,30.32,32.60
2,multi_level_coordinated_dqn,29,919.5668,0.025450,0.9900,1400.5840,-0.7236,0.0477,1.4222,0.2065,0.5883,0.3820,32.87,33.28,33.85
3,multi_level_coordinated_dqn,29,906.3989,0.067621,0.9851,930.2813,-0.7322,0.0469,1.4210,0.2075,0.5895,0.3858,35.63,36.69,27.68
4,multi_level_coordinated_dqn,29,846.8216,0.020829,0.9801,650.1861,-0.7462,0.0441,1.4174,0.2122,0.6009,0.3746,35.47,32.01,32.52
5,multi_level_coordinated_dqn,29,933.2735,0.021418,0.9752,693.6008,-0.7258,0.0500,1.4236,0.2064,0.5884,0.3851,33.49,34.13,32.37
6,multi_level_coordinated_dqn,29,929.3420,0.024855,0.9704,631.4512,-0.7378,0.0446,1.4193,0.2094,0.5931,0.3994,34.22,32.50,33.28
7,multi_level_coordinated_dqn,29,920.7376,0.051580,0.9655,752.9675,-0.7277,0.0446,1.4209,0.2092,0.5925,0.3891,34.78,32.29,32.93
8,multi_level_coordinated_dqn,29,969.1337,0.215631,0.9607,594.5480,-0.7070,0.0548,1.4288,0.2022,0.5787,0.3782,33.73,31.01,35.26
9,multi_level_coordinated_dqn,29,910.7255,0.098735,0.9559,823.2297,-0.7529,0.0401,1.4155,0.2125,0.5992,0.4075,31.25,33.33,35.42
10,multi_level_coordinated_dqn,29,954.5044,0.067479,0.9511,510.9683,-0.6923,0.0570,1.4307,0.1996,0.5734,0.3580,34.42,30.33,35.25
11,multi_level_coordinated_dqn,29,923.2069,0.050875,0.9464,696.1001,-0.7417,0.0439,1.4190,0.2099,0.5945,0.4004,33.12,31.95,34.92
