episode,controller_type,state_dim,reward,policy_loss,value_loss,entropy,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
1,multi_level_coordinated_ppo,29,925.2142,-0.003630,0.001490,1.080978,910.9186,-0.7262,0.0456,1.4219,0.2084,0.5909,0.3884,29.25,36.54,34.21
2,multi_level_coordinated_ppo,29,931.6461,-0.001675,0.000724,1.076877,1087.2301,-0.7500,0.0358,1.4157,0.2148,0.5984,0.4182,24.02,40.59,35.39
3,multi_level_coordinated_ppo,29,935.5354,-0.002028,0.000528,1.073879,956.2177,-0.7231,0.0494,1.4234,0.2058,0.5870,0.3870,27.16,36.30,36.54
4,multi_level_coordinated_ppo,29,966.7836,-0.001771,0.000400,1.061637,1073.3577,-0.7069,0.0537,1.4278,0.2030,0.5806,0.3812,20.75,36.78,42.47
5,multi_level_coordinated_ppo,29,927.3506,-0.001759,0.000243,1.073376,867.0501,-0.7525,0.0361,1.4147,0.2147,0.5993,0.4169,24.55,31.70,43.75
6,multi_level_coordinated_ppo,29,893.2041,-0.003827,0.000316,1.061883,909.7605,-0.7420,0.0404,1.4173,0.2146,0.6024,0.3940,28.77,31.97,39.26
7,multi_level_coordinated_ppo,29,1001.8176,-0.003309,0.000246,1.053060,754.3422,-0.7202,0.0509,1.4237,0.2051,0.5843,0.4010,25.30,29.07,45.63
8,multi_level_coordinated_ppo,29,954.2857,-0.001387,0.000189,1.026403,721.6212,-0.7142,0.0524,1.4264,0.2040,0.5835,0.3816,18.75,35.02,46.23
9,multi_level_coordinated_ppo,29,940.8159,-0.002296,0.000141,0.982116,578.1110,-0.7024,0.0575,1.4290,0.2000,0.5766,0.3640,16.58,35.25,48.17
10,multi_level_coordinated_ppo,29,923.5569,-0.002934,0.000150,0.986659,766.9835,-0.7414,0.0439,1.4190,0.2099,0.5945,0.4004,15.31,28.28,56.41
11,multi_level_coordinated_ppo,29,941.1121,-0.001071,0.000130,0.963569,1098.1123,-0.7194,0.0496,1.4238,0.2057,0.5861,0.3870,15.71,31.89,52.40
12,multi_level_coordinated_ppo,29,971.2934,-0.000771,0.000094,0.975603,1236.5977,-0.7530,0.0363,1.4145,0.2163,0.6020,0.4343,12.93,36.35,50.72
13,multi_level_coordinated_ppo,29,920.9086,-0.000837,0.000107,0.996099,1102.1562,-0.7008,0.0588,1.4305,0.1986,0.5758,0.3572,15.41,37.59,47.00
14,multi_level_coordinated_ppo,29,931.5448,-0.001954,0.000087,0.955306,929.8961,-0.7247,0.0488,1.4224,0.2063,0.5878,0.3866,14.98,40.62,44.39
15,multi_level_coordinated_ppo,29,934.3918,-0.003395,0.000082,0.982507,943.7210,-0.7233,0.0493,1.4227,0.2059,0.5872,0.3868,12.26,33.81,53.93
16,multi_level_coordinated_ppo,29,920.5586,-0.001171,0.000073,1.002959,667.2137,-0.7011,0.0588,1.4305,0.1986,0.5758,0.3572,14.81,38.36,46.83
17,multi_level_coordinated_ppo,29,930.9842,-0.004380,0.000103,1.011566,768.5110,-0.7432,0.0431,1.4184,0.2105,0.5952,0.4062,16.67,39.04,44.29
18,multi_level_coordinated_ppo,29,933.6383,-0.001693,0.000070,1.032873,611.9809,-0.7060,0.0552,1.4289,0.2016,0.5786,0.3690,17.58,39.25,43.17
19,multi_level_coordinated_ppo,29,941.2692,-0.002663,0.000057,1.016574,1616.2285,-0.7025,0.0577,1.4292,0.2000,0.5767,0.3649,19.75,45.83,34.42
