episode,total_reward,steps,epsilon,loss_last
1,-1242.5000,45,0.9950,
2,-1244.5000,45,0.9900,757.539124
3,-1527.0000,53,0.9851,106.417671
4,-1387.0000,45,0.9801,108.150787
5,-1242.5000,45,0.9752,76.497620
6,-1579.0000,51,0.9704,74.550117
7,-1470.5000,47,0.9655,54.396164
8,-1535.5000,52,0.9607,61.243530
9,-1139.5000,45,0.9559,44.685917
10,-1164.0000,45,0.9511,158.767670
11,-1335.5000,45,0.9464,75.235809
12,-1241.0000,45,0.9416,65.127884
13,-1133.5000,45,0.9369,112.504028
14,-1270.0000,45,0.9322,148.737946
15,-1334.5000,45,0.9276,167.027374
16,-1183.0000,45,0.9229,230.684189
17,-1138.5000,45,0.9183,137.829285
18,-1246.5000,45,0.9137,261.984528
19,-1333.0000,45,0.9092,602.655457
20,-1183.5000,45,0.9046,412.106781
21,-1330.0000,45,0.9001,761.232239
22,-1293.5000,45,0.8956,260.243408
23,-1178.0000,45,0.8911,66.326057
24,-1290.5000,45,0.8867,86.421753
25,-1121.0000,45,0.8822,914.772949
26,-1293.5000,45,0.8778,80.380646
27,-1183.0000,45,0.8734,355.820740
28,-1426.0000,47,0.8691,1123.417603
29,-1135.5000,45,0.8647,441.919312
30,-1372.5000,47,0.8604,745.168091
31,-1184.5000,45,0.8561,440.683136
32,-1348.5000,45,0.8518,895.584595
33,-1480.5000,47,0.8475,507.279724
34,-1141.5000,45,0.8433,1808.955688
35,-1178.5000,47,0.8391,968.538452
36,-1490.5000,51,0.8349,558.275696
37,-1674.0000,52,0.8307,1280.064941
38,-1250.5000,45,0.8266,682.224731
39,-1293.5000,45,0.8224,1248.047852
40,-1197.0000,45,0.8183,1182.792236
41,-1313.5000,45,0.8142,1521.454712
42,-1157.5000,45,0.8102,865.952942
43,-1108.5000,45,0.8061,1586.388428
44,-1250.5000,45,0.8021,815.769897
45,-1184.5000,45,0.7981,1064.699463
46,-1178.0000,45,0.7941,1820.417847
47,-1388.0000,45,0.7901,2532.080566
48,-1348.5000,45,0.7862,1022.495850
49,-1291.0000,45,0.7822,3410.824951
50,-1138.5000,45,0.7783,1168.979126
51,-1443.5000,47,0.7744,1124.918701
52,-1333.0000,45,0.7705,103.233093
53,-1178.0000,45,0.7667,210.313263
54,-1291.0000,45,0.7629,1238.758789
55,-1113.0000,45,0.7590,2246.712891
56,-1242.5000,45,0.7553,2330.260010
57,-1261.5000,47,0.7515,2307.345947
58,-1245.5000,45,0.7477,2398.079590
59,-1485.5000,49,0.7440,1337.763794
60,-1250.5000,45,0.7403,1358.405151
61,-1241.0000,45,0.7366,238.070175
62,-1334.0000,45,0.7329,1343.393677
63,-1385.0000,47,0.7292,1415.661865
64,-1192.0000,47,0.7256,1562.833618
65,-1181.0000,45,0.7219,2934.068848
66,-1179.0000,47,0.7183,4200.174805
67,-1232.0000,45,0.7147,3246.799805
68,-1191.0000,47,0.7112,3212.475586
69,-1132.0000,45,0.7076,4985.441895
70,-1092.5000,45,0.7041,1741.596313
71,-1172.0000,47,0.7005,329.039551
72,-1290.5000,45,0.6970,1941.603271
73,-1178.0000,45,0.6936,3563.467041
74,-1177.0000,45,0.6901,3788.548340
75,-1237.0000,45,0.6866,5209.875000
76,-1340.5000,45,0.6832,4006.718262
77,-1137.5000,45,0.6798,2109.353271
78,-1287.0000,45,0.6764,2403.952637
79,-1117.5000,45,0.6730,4140.006348
80,-1132.0000,45,0.6696,5953.536621
1,-1291.0000,45,0.9950,
2,-1333.0000,45,0.9900,896.660156
3,-1333.0000,45,0.9851,259.037048
4,-1378.5000,47,0.9801,110.368217
5,-1388.0000,45,0.9752,84.810883
6,-1387.0000,45,0.9704,445.739166
7,-1333.0000,45,0.9655,78.108521
8,-1290.5000,45,0.9607,55.568474
9,-1445.5000,50,0.9559,40.000404
10,-1329.5000,45,0.9511,30.554228
11,-1222.0000,45,0.9464,72.587692
12,-1293.5000,45,0.9416,140.075104
13,-1385.5000,45,0.9369,76.638046
14,-1319.0000,52,0.9322,32.410370
15,-1257.0000,47,0.9276,207.770615
16,-1390.5000,45,0.9229,146.758545
17,-1307.5000,47,0.9183,141.535919
18,-1388.0000,45,0.9137,53.884125
19,-1233.0000,45,0.9092,266.780914
20,-1499.5000,55,0.9046,237.848740
21,-1184.5000,45,0.9001,96.523865
22,-1388.0000,45,0.8956,242.737305
23,-1362.5000,47,0.8911,891.024170
24,-1241.0000,45,0.8867,671.228210
25,-1157.5000,45,0.8822,375.921631
26,-1662.0000,50,0.8778,331.388885
27,-1242.5000,45,0.8734,367.424805
28,-1390.5000,45,0.8691,529.206665
29,-1250.5000,47,0.8647,899.222290
30,-1291.0000,45,0.8604,832.939636
31,-1335.5000,45,0.8561,496.250244
32,-1315.0000,45,0.8518,137.979630
33,-1128.0000,45,0.8475,1189.092407
34,-1335.5000,45,0.8433,643.877563
35,-1230.0000,45,0.8391,656.764954
36,-1183.0000,45,0.8349,81.575607
37,-1291.0000,45,0.8307,716.931396
38,-1315.5000,47,0.8266,1376.611572
39,-1315.0000,47,0.8224,762.328308
40,-1224.0000,45,0.8183,142.848450
41,-1388.0000,45,0.8142,1032.413574
42,-1241.0000,45,0.8102,990.135986
43,-1293.5000,45,0.8061,2492.558350
44,-1394.0000,50,0.8021,122.663834
45,-1386.0000,50,0.7981,114.611694
46,-1595.5000,51,0.7941,1138.531372
47,-1189.5000,45,0.7901,1194.534668
48,-1089.0000,45,0.7862,120.210533
49,-1676.0000,51,0.7822,2718.471191
50,-1201.0000,47,0.7783,142.354965
51,-1140.5000,45,0.7744,3716.040039
52,-1338.5000,49,0.7705,174.497726
53,-1237.0000,45,0.7667,328.390594
54,-1241.0000,45,0.7629,203.791306
55,-1348.5000,45,0.7590,421.789124
56,-1140.5000,45,0.7553,1670.641846
57,-1144.5000,45,0.7515,191.186554
58,-1121.0000,45,0.7477,1731.083862
59,-1387.0000,45,0.7440,2991.278320
60,-1291.5000,45,0.7403,1785.239136
61,-1287.0000,45,0.7366,264.987488
62,-1386.5000,47,0.7329,3366.896973
63,-1310.0000,47,0.7292,1975.561279
64,-1248.5000,45,0.7256,2049.334961
65,-1131.0000,45,0.7219,216.037201
66,-1290.5000,45,0.7183,1971.919556
67,-1276.0000,45,0.7147,2181.618896
68,-1289.0000,45,0.7112,206.842651
69,-1141.5000,45,0.7076,5867.706055
70,-1133.5000,45,0.7041,2156.104492
71,-1293.5000,45,0.7005,4087.776855
72,-1388.0000,45,0.6970,6122.283203
73,-1250.5000,45,0.6936,262.868347
74,-1124.0000,45,0.6901,7814.064453
75,-1125.5000,45,0.6866,3837.757812
76,-1240.0000,45,0.6832,2652.413574
77,-1281.5000,45,0.6798,785.239380
78,-1330.5000,45,0.6764,2607.217529
79,-1250.5000,47,0.6730,4495.671387
80,-1178.0000,45,0.6696,3014.382080
81,-1269.0000,45,0.6663,7024.027832
82,-1221.0000,45,0.6630,2764.533203
83,-1596.5000,54,0.6597,2639.722900
84,-1283.5000,45,0.6564,2968.278076
85,-1237.0000,45,0.6531,2661.583496
86,-1270.0000,45,0.6498,255.724716
87,-1388.0000,45,0.6466,7912.634766
88,-1237.0000,45,0.6433,325.544830
89,-1344.5000,45,0.6401,7447.780273
90,-1291.0000,48,0.6369,2752.725098
91,-1128.0000,45,0.6337,8048.673340
92,-1421.0000,47,0.6306,2898.959473
93,-1183.0000,45,0.6274,3216.844727
94,-1479.0000,47,0.6243,7997.037109
95,-1105.0000,45,0.6211,5694.038086
96,-1141.5000,45,0.6180,7928.621094
97,-1198.5000,47,0.6149,7959.902344
98,-1348.5000,45,0.6119,438.257141
99,-1313.5000,45,0.6088,518.383911
100,-1140.5000,45,0.6058,6359.633301
101,-1240.0000,45,0.6027,921.577087
102,-1162.5000,45,0.5997,3669.622559
103,-1111.0000,45,0.5967,908.448059
104,-1305.5000,45,0.5937,723.206055
105,-1181.0000,45,0.5908,6193.556641
106,-1344.0000,45,0.5878,3417.746094
107,-1526.5000,57,0.5849,8959.862305
